action_name,description,parameter_name,parameter_type
site_read,Return True.,,
package_list,Return a list of the names of the site’s datasets (packages).,limit offset,int int
current_package_list_with_resources,Return a list of the site’s datasets (packages) and their resources. The list is sorted most-recently-modified first.,limit offset page,int int int
revision_list,"Return a list of the IDs of the site’s revisions. They are sorted with
the newest first. Since the results are limited to 50 IDs, you can page through them using
parameter .",since_id since_time sort,string string string
package_revision_list,Return a dataset (package)’s revisions as a list of dictionaries.,id,string
member_list,Return the members of a group. The user must have permission to ‘get’ the group.,id object_type capacity,string string string
group_list,Return a list of the names of the site’s groups.,order_by sort limit offset groups all_fields include_dataset_count include_extras include_tags include_groups include_users,string string int int list of strings bool bool bool bool bool bool
organization_list,Return a list of the names of the site’s organizations.,order_by sort limit offset organizations all_fields include_dataset_count include_extras include_tags include_groups include_users,string string int int list of strings bool bool bool bool bool bool
group_list_authz,Return the list of groups that the user is authorized to edit.,available_only am_member,bool bool
organization_list_for_user,"Return the organizations that the user has a given permission for. Specifically it returns the list of organizations that the currently
authorized user has a given permission (for example: "manage_group")
against. By default this returns the list of organizations that the currently
authorized user is member of, in any capacity. When a user becomes a member of an organization in CKAN they’re given a
"capacity" (sometimes called a "role"), for example "member", "editor" or
"admin". Each of these roles has certain permissions associated with it. For example
the admin role has the "admin" permission (which means they have permission
to do anything). The editor role has permissions like "create_dataset",
"update_dataset" and "delete_dataset".  The member role has the "read"
permission. This function returns the list of organizations that the authorized user
has a given permission for. For example the list of organizations that the
user is an admin of, or the list of organizations that the user can create
datasets in. This takes account of when permissions cascade down an
organization hierarchy.",id permission include_dataset_count,string string bool
group_revision_list,Return a group’s revisions.,id,string
organization_revision_list,Return an organization’s revisions.,id,string
license_list,Return the list of licenses available for datasets on the site.,,
tag_list,"Return a list of the site’s tags. By default only free tags (tags that don’t belong to a vocabulary) are
returned. If the argument is given then only tags
belonging to that vocabulary will be returned instead.",query vocabulary_id all_fields,string string bool
user_list,Return a list of the site’s user accounts.,q order_by all_fields,string string bool
package_relationships_list,Return a dataset (package)’s relationships.,id id2 rel,string string
package_show,Return the metadata of a dataset (package) and its resources.,id use_default_schema include_tracking,string bool bool
resource_show,Return the metadata of a resource.,id include_tracking,string bool
resource_view_show,Return the metadata of a resource_view.,id,string
resource_view_list,Return the list of resource views for a particular resource.,id,string
revision_show,Return the details of a revision.,id,string
group_show,Return the details of a group.,id include_datasets include_dataset_count include_extras include_users include_groups include_tags include_followers,string bool bool bool bool bool bool bool
organization_show,Return the details of a organization.,id include_datasets include_dataset_count include_extras include_users include_groups include_tags include_followers,string bool bool bool bool bool bool bool
group_package_show,Return the datasets (packages) of a group.,id limit,string int
tag_show,Return the details of a tag and all its datasets.,id vocabulary_id include_datasets,string string bool
user_show,Return a user account. Either the or the parameter must be given.,id user_obj include_datasets include_num_followers include_password_hash,string user dictionary bool bool bool
package_autocomplete,"Return a list of datasets (packages) that match a string. Datasets with names or titles that contain the query string will be
returned.",q limit,string int
format_autocomplete,Return a list of resource formats whose names contain a string.,q limit,string int
user_autocomplete,Return a list of user names that contain a string.,q limit,string int
group_autocomplete,Return a list of group names that contain a string.,q limit,string int
organization_autocomplete,Return a list of organization names that contain a string.,q limit,string int
package_search,"Searches for packages satisfying a given search criteria. This action accepts solr search query parameters (details below), and
returns a dictionary of results, including dictized datasets that match
the search criteria, a search count and also facet information. For more in depth treatment of each paramter, please read the . This action accepts a of solr’s search query parameters: The following advanced Solr parameters are supported as well. Note that
some of these are only available on particular Solr versions. See Solr’s and documentation for further details on them: , , , , , , datasets containing the word , or  datasets with the tag  top 10 tags The result of this action is a dict with the following keys: An example result: The full solr query language is not exposed, including.",q fq fq_list sort rows start facet facet.mincount facet.limit facet.field include_drafts include_private use_default_schema,string string list of strings string int int string int int list of strings bool bool bool
,,,
